Country,"2017","2018","2019"
Brazil,7.45,7.45,7.58
Albania,10.20,10.20,10.20
Algeria,8.70,8.70,8.70
Angola,5,5,3.99
Argentina,10.10,10.10,11.42
Armenia,11.67,11.67,12.52
Australia,12.21,12.21,12.42
Austria,12.30,12.30,12.56
Azerbaijan,10.48,10.48,10.48
Bahrain,10,10,8.17
Bangladesh,5.20,5.20,6.06
Barbados,No data,No data,9.32
Belgium,11.92,11.92,11.78
Benin,3.40,3.40,3.40
Bolivia,8.60,8.60,8.92
Bosnia and Herzegovina,9,9,9.69
Botswana,8.87,8.87,8.87
Brunei Darussalam,8.77,8.77,8.77
Bulgaria,11,11,11.81
Burkina Faso,1.37,1.37,1.37
Burundi,1.94,1.94,1.90
Cabo Verde,6.12,6.12,6.12
Cambodia,4.60,4.60,4.60
Cameroon,6.40,6.40,6.40
Canada,13.80,13.80,13.80
Chad,2.30,2.30,2.30
Chile,10.60,10.60,10.34
China,7.80,7.80,7.80
Colombia,8.06,8.06,8.27
Costa Rica,8.60,8.60,8.58
Croatia,11.20,11.20,11.20
Cyprus,11.89,11.89,12.10
Czech Republic,12.84,12.84,12.74
Denmark,12.43,12.43,12.59
Dominican Republic,7.83,7.83,7.83
Ecuador,8.68,8.68,8.99
"Egypt, Arab Rep.",7.60,7.60,7.60
El Salvador,7,7,6.89
Estonia,12.90,12.90,13.66
Ethiopia,2.90,2.90,2.90
Finland,14.20,14.20,12.44
France,11.32,11.32,11.35
Gabon,No data,No data,7.60
"Gambia, The",5.20,5.20,5.20
Georgia,12.61,12.61,12.81
Germany,14.07,14.07,14.13
Ghana,6.50,6.50,6.50
Greece,10.74,10.74,10.26
Guatemala,7.08,7.08,6.37
Guinea,2.80,2.80,2.80
Haiti,5.60,5.60,5.60
Honduras,6.29,6.29,6.53
Hungary,12.27,12.27,11.89
Iceland,12.50,12.50,12.50
India,6,6,6
Indonesia,7.91,7.91,7.98
"Iran, Islamic Rep.",8,8,10.01
Ireland,12.50,12.50,11.32
Israel,12.96,12.96,12.96
Italy,10.16,10.16,10.16
Jamaica,9.50,9.50,9.50
Japan,12.80,12.80,12.80
Jordan,10.30,10.30,10.30
Kazakhstan,11,11,11
Kenya,8.40,8.40,8.40
"Korea, Rep.",12.30,12.30,12.12
Kuwait,7.11,7.11,7.28
Kyrgyz Republic,10.60,10.60,10.60
Lao PDR,5.60,5.60,5.60
Latvia,13.23,13.23,13.23
Lebanon,9.30,9.30,9.30
Lesotho,7.10,7.10,7.10
Liberia,1.90,1.90,No data
Lithuania,12.84,12.84,13.22
Luxembourg,11.60,11.60,13.53
"Macedonia, FYR",9.80,9.80,9.80
Madagascar,No data,No data,4.20
Malawi,5.70,5.70,5.70
Malaysia,10.50,10.50,10.16
Mali,1.91,1.91,1.55
Malta,10.90,10.90,11.29
Mauritania,3.77,3.77,3.77
Mauritius,6.80,6.80,6.80
Mexico,8.60,8.60,8.60
Moldova,11.60,11.60,11.58
Mongolia,9.50,9.50,9.50
Montenegro,11.20,11.20,11.20
Morocco,4.80,4.80,4.80
Mozambique,2.10,2.10,3.12
Namibia,8.50,8.50,8.50
Nepal,4.70,4.70,4.70
Netherlands,12.14,12.14,12.19
New Zealand,13.10,13.10,13.34
Nicaragua,6.30,6.30,6.30
Nigeria,6.90,6.90,6.90
Norway,12.79,12.79,12.57
Oman,9.59,9.59,9.55
Pakistan,5.19,5.19,5.06
Panama,9.80,9.80,9.80
Paraguay,8.42,8.42,8.35
Peru,9.11,9.11,9.16
Philippines,9.60,9.60,9.60
Poland,12.67,12.67,12.29
Portugal,8.89,8.89,9.19
Qatar,9.81,9.81,9.67
Romania,10.99,10.99,10.98
Russian Federation,10.70,10.70,10.70
Rwanda,4.40,4.40,4.01
Saudi Arabia,10.20,10.20,10.20
Senegal,3.50,3.50,2.83
Serbia,11.01,11.01,11.13
Seychelles,9.40,9.40,11
Sierra Leone,4,4,No data
Singapore,11.47,11.47,11.88
Slovak Republic,12.66,12.66,13.64
Slovenia,12.38,12.38,12.27
South Africa,10.30,10.30,10.13
Spain,9.91,9.91,9.82
Sri Lanka,9.76,9.76,9.76
Sweden,12.34,12.34,12.43
Switzerland,13.73,13.73,13.85
"Taiwan, China",10.71,12.10,11.90
Tajikistan,10.70,10.70,11.42
Tanzania,6.80,6.80,6.80
Thailand,8.32,8.32,7.60
Trinidad and Tobago,9.90,9.90,9.90
Tunisia,8,8,7.09
Turkiye,8.09,8.09,7.60
Uganda,5.80,5.80,5.80
Ukraine,10.40,10.40,10.40
United Arab Emirates,9.70,9.70,10.95
United Kingdom,12.69,12.69,13.16
United States,13.52,13.52,13.41
Uruguay,8.67,8.67,8.72
"Venezuela, RB",10.08,10.08,10.32
Vietnam,7.60,7.60,7.60
"Yemen, Rep.",2.60,2.60,2.60
Zambia,7.90,7.90,7.90
Zimbabwe,8.15,8.15,8.15
